Date,Apple,Amazon,IBM
2/19/2014,72.14518588,347.38,164.6101516
2/20/2014,71.3101131,349.8,165.7888305
2/21/2014,70.51800227,346.76,164.4661908
2/24/2014,70.82679124,351.78,165.060029
2/25/2014,70.0897254,358.32,164.8620829
2/26/2014,69.4573793,359.8,165.6088795
2/27/2014,70.84290197,360.13,166.6975829
2/28/2014,70.65091578,362.1,166.6076074
3/3/2014,70.85498502,359.78,165.7888305
3/4/2014,71.32219615,363.9,167.750296
3/5/2014,71.47256295,372.37,168.3801244
3/6/2014,71.25641067,372.16,168.8300019
3/7/2014,71.21479129,372.06,168.8659921
3/10/2014,71.27923421,370.53,167.7053083
3/11/2014,71.9733381,368.82,168.0382176
3/12/2014,72.04315126,370.64,167.55235
3/13/2014,71.24298507,371.51,165.4649187
3/14/2014,70.44281887,373.74,163.944333
3/17/2014,70.71804382,375.04,167.1834505
3/18/2014,71.34367712,378.77,168.0832053
3/19/2014,71.32488127,373.23,166.1937201
3/20/2014,70.98118572,368.97,169.0639381
3/21/2014,71.54103355,360.62,167.9572397
3/24/2014,72.38953193,351.85,169.3788523
3/25/2014,73.16821715,354.71,175.4881878
3/26/2014,72.46874301,343.41,173.3107811
3/27/2014,72.15726892,338.47,170.800465
3/28/2014,72.07671528,338.29,171.358313
3/31/2014,72.06060455,336.365,173.1938129
4/1/2014,72.71980187,342.99,175.0023202
4/2/2014,72.84063233,341.96,174.1475531
4/3/2014,72.3358295,333.62,173.3737639
4/4/2014,71.40006467,323,172.5459894
4/7/2014,70.27902646,317.76,175.0203153
4/8/2014,70.27499878,327.07,173.9136168
4/9/2014,71.19868056,331.805,176.9277956
4/10/2014,70.28036902,317.11,176.064031
4/11/2014,69.76079802,311.73,175.6231511
4/14/2014,70.03870809,315.91,177.9445186
4/15/2014,69.53926208,316.08,177.2697025
4/16/2014,69.68024438,323.68,176.7118544
4/17/2014,70.47638289,324.91,170.9624209
4/21/2014,71.31279822,330.87,172.9958669
4/22/2014,71.38381969,329.32,172.8878963
4/23/2014,70.45087424,324.58,172.5099993
4/24/2014,76.22657049,337.15,171.1513694
4/25/2014,76.78641831,303.83,170.620514
4/28/2014,79.76019033,296.58,173.7786536
4/29/2014,79.52389964,300.38,175.5511707
4/30/2014,79.22316604,304.13,176.7748373
5/1/2014,79.40978198,307.89,174.129558
5/2/2014,79.55746366,308.01,172.2490703
5/5/2014,80.68252955,310.05,172.0871145
5/6/2014,79.80315227,297.38,170.980416
5/7/2014,79.52389964,292.71,171.3133253
5/8/2014,79.38293076,288.32,170.9603818
5/9/2014,79.05250045,292.24,172.0192122
5/12/2014,80.036366,302.86,174.2726205
5/13/2014,80.16192277,304.64,173.9287268
5/14/2014,80.17677357,297.62,170.788435
5/15/2014,79.49498681,295.19,168.7431729
5/16/2014,80.66820007,297.7,169.2861629
5/19/2014,81.62405162,296.755,169.2318639
5/20/2014,81.64025249,301.19,167.3223493
5/21/2014,81.85626414,305.01,168.6798241
5/22/2014,81.98587113,304.91,168.037286
5/23/2014,82.91202107,312.24,168.2725816
5/27/2014,84.4646048,310.82,167.2228011
5/28/2014,84.245893,310.16,165.6843296
5/29/2014,85.78092578,313.78,166.2997182
5/30/2014,85.45960845,312.55,166.8427081
6/2/2014,84.87232678,308.84,168.0463358
6/3/2014,86.0725415,307.19,166.851758
6/4/2014,87.05539451,306.78,166.9784556
6/5/2014,87.39696292,323.57,168.308781
